                                                                         file  Avg_wall_time_s  mean_fdr_bh_0.05  mean_power_bh_0.05  mean_fdr_by_0.05  mean_power_by_0.05  mean_fdr_bh_0.1  mean_power_bh_0.1  mean_fdr_by_0.1  mean_power_by_0.1  mean_fdr_lct_0.05  mean_power_lct_0.05  mean_fdr_lct_0.1  mean_power_lct_0.1  mean_fdr_lctb_0.05_B100  mean_power_lctb_0.05_B100  mean_fdr_lctb_0.1_B100  mean_power_lctb_0.1_B100    model     p    n1    n2  rho  block  reps  mean_fdr_lct_cai_liu_0.05  mean_power_lct_cai_liu_0.05  mean_fdr_lct_cai_liu_0.1  mean_power_lct_cai_liu_0.1  mean_fdr_lct_gaussian_0.05  mean_power_lct_gaussian_0.05  mean_fdr_lct_gaussian_0.1  mean_power_lct_gaussian_0.1  mean_fdr_lct_jackknife_0.05  mean_power_lct_jackknife_0.05  mean_fdr_lct_jackknife_0.1  mean_power_lct_jackknife_0.1
                   results/tables/power_gaussian_p250_n120_rho0.2_b20_R20.csv         9.014805          0.025000            0.000263          0.000000            0.000000         0.075000           0.000789         0.000000           0.000000           0.050000             0.000263          0.083333            0.000526                 0.000000                   0.000263                0.050000                  0.000526      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                  results/tables/power_gaussian_p250_n120_rho0.35_b20_R20.csv         9.111791          0.063793            0.083158          0.000000            0.015789         0.104081           0.140000         0.000000           0.026053           0.076845             0.034211          0.123871            0.069211                 0.033333                   0.026842                0.098607                  0.054737      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n120_rho0.3_b20_R20.csv         9.152027          0.042500            0.018947          0.000000            0.001842         0.074908           0.032368         0.000000           0.003421           0.062500             0.007895          0.161389            0.015263                 0.012500                   0.007105                0.136346                  0.012368      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n120_rho0.5_b20_R20.csv         1.498972          0.056668            0.704211          0.003152            0.438158         0.115292           0.785000         0.009853           0.516316           0.065690             0.460263          0.129686            0.578421                 0.058168                   0.432895                0.113363                  0.541316      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n120_rho0.6_b20_R20.csv         1.481494          0.056558            0.963421          0.004864            0.871316         0.111864           0.975789         0.010107           0.903158           0.068209             0.802105          0.129939            0.870000                 0.058288                   0.785526                0.108646                  0.854737      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n120_rho0.7_b20_R20.csv         1.582704          0.053223            0.998684          0.004455            0.993421         0.111307           0.998947         0.009127           0.996053           0.062831             0.953684          0.128335            0.978158                 0.054654                   0.948158                0.104924                  0.971842      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n120_rho0.8_b20_R20.csv         1.586238          0.055490            1.000000          0.005192            1.000000         0.111539           1.000000         0.009856           1.000000           0.065590             0.995263          0.131159            0.997632                 0.055729                   0.994474                0.106335                  0.997632      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n200_rho0.5_b20_R20.csv         1.704333          0.053622            0.960526          0.004727            0.876316         0.107605           0.976053         0.008152           0.912105           0.058699             0.892368          0.112828            0.935526                 0.051761                   0.884474                0.101776                  0.930789      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n200_rho0.6_b20_R20.csv         1.725381          0.050412            0.999211          0.004178            0.996579         0.107733           0.999474         0.008043           0.997632           0.054895             0.992105          0.111592            0.995789                 0.049744                   0.991053                0.099831                  0.995526      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n200_rho0.7_b20_R20.csv         1.814931          0.050176            1.000000          0.004941            1.000000         0.103326           1.000000         0.009314           1.000000           0.055925             0.999737          0.108897            1.000000                 0.051248                   0.999474                0.096167                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n200_rho0.8_b20_R20.csv         1.764662          0.048677            1.000000          0.004674            1.000000         0.104446           1.000000         0.009316           1.000000           0.054468             1.000000          0.107992            1.000000                 0.049048                   1.000000                0.097247                  1.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                   results/tables/power_gaussian_p250_n60_rho0.25_b20_R20.csv         8.858287          0.000000            0.000000          0.000000            0.000000         0.112500           0.000789         0.000000           0.000000           0.050000             0.000263          0.225000            0.000263                 0.050000                   0.000263                0.150000                  0.000263      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
                    results/tables/power_gaussian_p250_n60_rho0.2_b20_R20.csv         9.033612          0.000000            0.000000          0.000000            0.000000         0.150000           0.000000         0.000000           0.000000           0.050000             0.000000          0.200000            0.000000                 0.050000                   0.000000                0.150000                  0.000000      NaN   NaN   NaN   NaN  NaN    NaN   NaN                        NaN                          NaN                       NaN                         NaN                         NaN                           NaN                        NaN                          NaN                          NaN                            NaN                         NaN                           NaN
